Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
Sat Nov 4 2017,7:00 PM,Sacramento Kings,,Detroit Pistons,
Sat Nov 4 2017,3:30 PM,Memphis Grizzlies,,Los Angeles Clippers,
Sat Nov 4 2017,8:00 PM,Dallas Mavericks,,Minnesota Timberwolves,
Sun Nov 5 2017,3:00 PM,Atlanta Hawks,,Cleveland Cavaliers,
Sun Nov 5 2017,7:00 PM,Utah Jazz,,Houston Rockets,
Sun Nov 5 2017,3:30 PM,Miami Heat,,Los Angeles Clippers,
Sun Nov 5 2017,9:30 PM,Memphis Grizzlies,,Los Angeles Lakers,
Sun Nov 5 2017,8:00 PM,Charlotte Hornets,,Minnesota Timberwolves,
Sun Nov 5 2017,7:30 PM,Indiana Pacers,,New York Knicks,
Sun Nov 5 2017,6:00 PM,Boston Celtics,,Orlando Magic,
Sun Nov 5 2017,9:00 PM,Oklahoma City Thunder,,Portland Trail Blazers,
Sun Nov 5 2017,7:00 PM,Phoenix Suns,,San Antonio Spurs,
Sun Nov 5 2017,6:00 PM,Washington Wizards,,Toronto Raptors,
Mon Nov 6 2017,7:30 PM,Boston Celtics,,Atlanta Hawks,
Mon Nov 6 2017,10:30 PM,Miami Heat,,Golden State Warriors,
Mon Nov 6 2017,9:00 PM,Brooklyn Nets,,Phoenix Suns,
Tue Nov 7 2017,7:00 PM,Milwaukee Bucks,,Cleveland Cavaliers,
Tue Nov 7 2017,9:00 PM,Brooklyn Nets,,Denver Nuggets,
Tue Nov 7 2017,7:00 PM,New Orleans Pelicans,,Indiana Pacers,
Tue Nov 7 2017,7:30 PM,Charlotte Hornets,,New York Knicks,
Tue Nov 7 2017,10:00 PM,Memphis Grizzlies,,Portland Trail Blazers,
Tue Nov 7 2017,10:00 PM,Oklahoma City Thunder,,Sacramento Kings,
Tue Nov 7 2017,8:30 PM,Los Angeles Clippers,,San Antonio Spurs,
Tue Nov 7 2017,7:30 PM,Chicago Bulls,,Toronto Raptors,
Tue Nov 7 2017,9:00 PM,Philadelphia 76ers,,Utah Jazz,
Tue Nov 7 2017,7:00 PM,Dallas Mavericks,,Washington Wizards,
Wed Nov 8 2017,8:00 PM,Los Angeles Lakers,,Boston Celtics,
Wed Nov 8 2017,7:00 PM,Indiana Pacers,,Detroit Pistons,
Wed Nov 8 2017,10:30 PM,Minnesota Timberwolves,,Golden State Warriors,
Wed Nov 8 2017,7:00 PM,New York Knicks,,Orlando Magic,
Wed Nov 8 2017,9:00 PM,Miami Heat,,Phoenix Suns,
Thu Nov 9 2017,10:30 PM,Oklahoma City Thunder,,Denver Nuggets,
Thu Nov 9 2017,8:00 PM,Cleveland Cavaliers,,Houston Rockets,
Thu Nov 9 2017,10:00 PM,Philadelphia 76ers,,Sacramento Kings,
Thu Nov 9 2017,7:30 PM,New Orleans Pelicans,,Toronto Raptors,
Thu Nov 9 2017,7:00 PM,Los Angeles Lakers,,Washington Wizards,
Fri Nov 10 2017,7:30 PM,Charlotte Hornets,,Boston Celtics,
Fri Nov 10 2017,8:00 PM,Indiana Pacers,,Chicago Bulls,
Fri Nov 10 2017,7:00 PM,Atlanta Hawks,,Detroit Pistons,
Fri Nov 10 2017,9:00 PM,Los Angeles Clippers,,Oklahoma City Thunder,
Fri Nov 10 2017,9:00 PM,Orlando Magic,,Phoenix Suns,
Fri Nov 10 2017,10:00 PM,Brooklyn Nets,,Portland Trail Blazers,
Fri Nov 10 2017,9:00 PM,Milwaukee Bucks,,San Antonio Spurs,
Fri Nov 10 2017,9:00 PM,Miami Heat,,Utah Jazz,
Sat Nov 11 2017,8:30 PM,Cleveland Cavaliers,,Dallas Mavericks,
Sat Nov 11 2017,9:00 PM,Orlando Magic,,Denver Nuggets,
Sat Nov 11 2017,8:30 PM,Philadelphia 76ers,,Golden State Warriors,
Sat Nov 11 2017,8:00 PM,Memphis Grizzlies,,Houston Rockets,
Sat Nov 11 2017,8:30 PM,Los Angeles Lakers,,Milwaukee Bucks,
Sat Nov 11 2017,7:00 PM,Los Angeles Clippers,,New Orleans Pelicans,
Sat Nov 11 2017,8:00 PM,Sacramento Kings,,New York Knicks,
Sat Nov 11 2017,9:00 PM,Minnesota Timberwolves,,Phoenix Suns,
Sat Nov 11 2017,8:30 PM,Chicago Bulls,,San Antonio Spurs,
Sat Nov 11 2017,9:00 PM,Brooklyn Nets,,Utah Jazz,
Sat Nov 11 2017,7:00 PM,Atlanta Hawks,,Washington Wizards,
Sun Nov 12 2017,3:30 PM,Toronto Raptors,,Boston Celtics,
Sun Nov 12 2017,4:00 PM,Miami Heat,,Detroit Pistons,
Sun Nov 12 2017,6:00 PM,Houston Rockets,,Indiana Pacers,
Sun Nov 12 2017,7:00 PM,Dallas Mavericks,,Oklahoma City Thunder,
Mon Nov 13 2017,10:30 PM,Orlando Magic,,Golden State Warriors,
Mon Nov 13 2017,10:30 PM,Philadelphia 76ers,,Los Angeles Clippers,
Mon Nov 13 2017,8:00 PM,Memphis Grizzlies,,Milwaukee Bucks,
Mon Nov 13 2017,8:00 PM,Atlanta Hawks,,New Orleans Pelicans,
Mon Nov 13 2017,7:30 PM,Cleveland Cavaliers,,New York Knicks,
Mon Nov 13 2017,9:00 PM,Los Angeles Lakers,,Phoenix Suns,
Mon Nov 13 2017,10:00 PM,Denver Nuggets,,Portland Trail Blazers,
Mon Nov 13 2017,9:00 PM,Minnesota Timberwolves,,Utah Jazz,
Mon Nov 13 2017,7:00 PM,Sacramento Kings,,Washington Wizards,
Tue Nov 14 2017,7:30 PM,Boston Celtics,,Brooklyn Nets,
Tue Nov 14 2017,8:30 PM,San Antonio Spurs,,Dallas Mavericks,
Tue Nov 14 2017,8:00 PM,Toronto Raptors,,Houston Rockets,
Wed Nov 15 2017,7:30 PM,Sacramento Kings,,Atlanta Hawks,
Wed Nov 15 2017,8:00 PM,Cleveland Cavaliers,,Charlotte Hornets,
Wed Nov 15 2017,10:30 PM,Philadelphia 76ers,,Los Angeles Lakers,
Wed Nov 15 2017,8:00 PM,Indiana Pacers,,Memphis Grizzlies,
Wed Nov 15 2017,7:30 PM,Washington Wizards,,Miami Heat,
Wed Nov 15 2017,8:00 PM,Detroit Pistons,,Milwaukee Bucks,
Wed Nov 15 2017,8:00 PM,San Antonio Spurs,,Minnesota Timberwolves,
Wed Nov 15 2017,8:00 PM,Toronto Raptors,,New Orleans Pelicans,
Wed Nov 15 2017,7:30 PM,Utah Jazz,,New York Knicks,
Wed Nov 15 2017,8:00 PM,Chicago Bulls,,Oklahoma City Thunder,
Wed Nov 15 2017,10:00 PM,Orlando Magic,,Portland Trail Blazers,
Thu Nov 16 2017,8:00 PM,Golden State Warriors,,Boston Celtics,
Thu Nov 16 2017,10:30 PM,Houston Rockets,,Phoenix Suns,
Fri Nov 17 2017,7:30 PM,Utah Jazz,,Brooklyn Nets,
Fri Nov 17 2017,8:00 PM,Charlotte Hornets,,Chicago Bulls,
Fri Nov 17 2017,7:30 PM,Los Angeles Clippers,,Cleveland Cavaliers,
Fri Nov 17 2017,8:30 PM,Minnesota Timberwolves,,Dallas Mavericks,
Fri Nov 17 2017,10:30 PM,New Orleans Pelicans,,Denver Nuggets,
Fri Nov 17 2017,7:00 PM,Detroit Pistons,,Indiana Pacers,
Fri Nov 17 2017,10:30 PM,Phoenix Suns,,Los Angeles Lakers,
Fri Nov 17 2017,10:00 PM,Portland Trail Blazers,,Sacramento Kings,
Fri Nov 17 2017,8:00 PM,Oklahoma City Thunder,,San Antonio Spurs,
Fri Nov 17 2017,7:30 PM,New York Knicks,,Toronto Raptors,
Fri Nov 17 2017,7:00 PM,Miami Heat,,Washington Wizards,
Sat Nov 18 2017,7:30 PM,Boston Celtics,,Atlanta Hawks,
Sat Nov 18 2017,7:00 PM,Los Angeles Clippers,,Charlotte Hornets,
Sat Nov 18 2017,9:00 PM,Milwaukee Bucks,,Dallas Mavericks,
Sat Nov 18 2017,8:00 PM,Houston Rockets,,Memphis Grizzlies,
Sat Nov 18 2017,7:00 PM,Utah Jazz,,Orlando Magic,
Sat Nov 18 2017,7:30 PM,Golden State Warriors,,Philadelphia 76ers,
Sat Nov 18 2017,10:00 PM,Sacramento Kings,,Portland Trail Blazers,
Sun Nov 19 2017,6:00 PM,Golden State Warriors,,Brooklyn Nets,
Sun Nov 19 2017,9:30 PM,Denver Nuggets,,Los Angeles Lakers,
Sun Nov 19 2017,3:30 PM,Indiana Pacers,,Miami Heat,
Sun Nov 19 2017,7:00 PM,Detroit Pistons,,Minnesota Timberwolves,
Sun Nov 19 2017,8:00 PM,Chicago Bulls,,Phoenix Suns,
Sun Nov 19 2017,6:00 PM,Washington Wizards,,Toronto Raptors,
Mon Nov 20 2017,7:00 PM,Minnesota Timberwolves,,Charlotte Hornets,
Mon Nov 20 2017,8:30 PM,Boston Celtics,,Dallas Mavericks,
Mon Nov 20 2017,7:00 PM,Cleveland Cavaliers,,Detroit Pistons,
Mon Nov 20 2017,8:00 PM,Portland Trail Blazers,,Memphis Grizzlies,
Mon Nov 20 2017,8:00 PM,Washington Wizards,,Milwaukee Bucks,
Mon Nov 20 2017,8:00 PM,Oklahoma City Thunder,,New Orleans Pelicans,
Mon Nov 20 2017,7:30 PM,Los Angeles Clippers,,New York Knicks,
Mon Nov 20 2017,7:00 PM,Indiana Pacers,,Orlando Magic,
Mon Nov 20 2017,7:00 PM,Utah Jazz,,Philadelphia 76ers,
Mon Nov 20 2017,10:00 PM,Denver Nuggets,,Sacramento Kings,
Mon Nov 20 2017,8:30 PM,Atlanta Hawks,,San Antonio Spurs,
Tue Nov 21 2017,10:30 PM,Chicago Bulls,,Los Angeles Lakers,
Wed Nov 22 2017,7:30 PM,Los Angeles Clippers,,Atlanta Hawks,
Wed Nov 22 2017,7:00 PM,Washington Wizards,,Charlotte Hornets,
Wed Nov 22 2017,7:00 PM,Brooklyn Nets,,Cleveland Cavaliers,
Wed Nov 22 2017,8:00 PM,Denver Nuggets,,Houston Rockets,
Wed Nov 22 2017,8:00 PM,Dallas Mavericks,,Memphis Grizzlies,
Wed Nov 22 2017,7:30 PM,Boston Celtics,,Miami Heat,
Wed Nov 22 2017,8:00 PM,Orlando Magic,,Minnesota Timberwolves,
Wed Nov 22 2017,8:00 PM,San Antonio Spurs,,New Orleans Pelicans,
Wed Nov 22 2017,7:30 PM,Toronto Raptors,,New York Knicks,
Wed Nov 22 2017,8:00 PM,Golden State Warriors,,Oklahoma City Thunder,
Wed Nov 22 2017,7:00 PM,Portland Trail Blazers,,Philadelphia 76ers,
Wed Nov 22 2017,9:00 PM,Milwaukee Bucks,,Phoenix Suns,
Wed Nov 22 2017,10:30 PM,Los Angeles Lakers,,Sacramento Kings,
Wed Nov 22 2017,9:00 PM,Chicago Bulls,,Utah Jazz,
Fri Nov 24 2017,7:30 PM,New York Knicks,,Atlanta Hawks,
Fri Nov 24 2017,7:30 PM,Orlando Magic,,Boston Celtics,
Fri Nov 24 2017,12:00 PM,Portland Trail Blazers,,Brooklyn Nets,
Fri Nov 24 2017,8:00 PM,Charlotte Hornets,,Cleveland Cavaliers,
Fri Nov 24 2017,9:00 PM,Memphis Grizzlies,,Denver Nuggets,
Fri Nov 24 2017,10:30 PM,Chicago Bulls,,Golden State Warriors,
Fri Nov 24 2017,8:00 PM,Toronto Raptors,,Indiana Pacers,
Fri Nov 24 2017,8:00 PM,Miami Heat,,Minnesota Timberwolves,
Fri Nov 24 2017,8:00 PM,Detroit Pistons,,Oklahoma City Thunder,
Fri Nov 24 2017,9:00 PM,New Orleans Pelicans,,Phoenix Suns,
Sat Nov 25 2017,7:30 PM,Toronto Raptors,,Atlanta Hawks,
Sat Nov 25 2017,7:00 PM,San Antonio Spurs,,Charlotte Hornets,
Sat Nov 25 2017,8:30 PM,Oklahoma City Thunder,,Dallas Mavericks,
Sat Nov 25 2017,8:30 PM,New Orleans Pelicans,,Golden State Warriors,
Sat Nov 25 2017,8:00 PM,New York Knicks,,Houston Rockets,
Sat Nov 25 2017,8:00 PM,Boston Celtics,,Indiana Pacers,
Sat Nov 25 2017,7:00 PM,Orlando Magic,,Philadelphia 76ers,
Sat Nov 25 2017,10:00 PM,Los Angeles Clippers,,Sacramento Kings,
Sat Nov 25 2017,9:00 PM,Milwaukee Bucks,,Utah Jazz,
Sat Nov 25 2017,7:00 PM,Portland Trail Blazers,,Washington Wizards,
Sun Nov 26 2017,3:30 PM,Miami Heat,,Chicago Bulls,
Sun Nov 26 2017,6:00 PM,Brooklyn Nets,,Memphis Grizzlies,
Sun Nov 26 2017,3:30 PM,Phoenix Suns,,Minnesota Timberwolves,
Mon Nov 27 2017,7:30 PM,Detroit Pistons,,Boston Celtics,
Mon Nov 27 2017,10:30 PM,Sacramento Kings,,Golden State Warriors,
Mon Nov 27 2017,8:00 PM,Brooklyn Nets,,Houston Rockets,
Mon Nov 27 2017,7:00 PM,Orlando Magic,,Indiana Pacers,
Mon Nov 27 2017,10:30 PM,Los Angeles Lakers,,Los Angeles Clippers,
Mon Nov 27 2017,7:30 PM,Portland Trail Blazers,,New York Knicks,
Mon Nov 27 2017,7:00 PM,Cleveland Cavaliers,,Philadelphia 76ers,
Mon Nov 27 2017,8:30 PM,Dallas Mavericks,,San Antonio Spurs,
Tue Nov 28 2017,8:00 PM,Phoenix Suns,,Chicago Bulls,
Tue Nov 28 2017,7:00 PM,Miami Heat,,Cleveland Cavaliers,
Tue Nov 28 2017,8:00 PM,Washington Wizards,,Minnesota Timberwolves,
Tue Nov 28 2017,10:00 PM,Milwaukee Bucks,,Sacramento Kings,
Tue Nov 28 2017,10:00 PM,Denver Nuggets,,Utah Jazz,
Wed Nov 29 2017,8:30 PM,Brooklyn Nets,,Dallas Mavericks,
Wed Nov 29 2017,7:00 PM,Phoenix Suns,,Detroit Pistons,
Wed Nov 29 2017,8:00 PM,Indiana Pacers,,Houston Rockets,
Wed Nov 29 2017,10:30 PM,Golden State Warriors,,Los Angeles Lakers,
Wed Nov 29 2017,8:00 PM,Minnesota Timberwolves,,New Orleans Pelicans,
Wed Nov 29 2017,7:30 PM,Miami Heat,,New York Knicks,
Wed Nov 29 2017,7:00 PM,Oklahoma City Thunder,,Orlando Magic,
Wed Nov 29 2017,7:00 PM,Washington Wizards,,Philadelphia 76ers,
Wed Nov 29 2017,8:30 PM,Memphis Grizzlies,,San Antonio Spurs,
Wed Nov 29 2017,7:30 PM,Charlotte Hornets,,Toronto Raptors,
Thu Nov 30 2017,7:30 PM,Cleveland Cavaliers,,Atlanta Hawks,
Thu Nov 30 2017,7:30 PM,Philadelphia 76ers,,Boston Celtics,
Thu Nov 30 2017,9:00 PM,Chicago Bulls,,Denver Nuggets,
Thu Nov 30 2017,10:30 PM,Utah Jazz,,Los Angeles Clippers,
Thu Nov 30 2017,10:00 PM,Milwaukee Bucks,,Portland Trail Blazers,
Fri Dec 1 2017,8:00 PM,Sacramento Kings,,Chicago Bulls,
Fri Dec 1 2017,8:00 PM,San Antonio Spurs,,Memphis Grizzlies,
Fri Dec 1 2017,8:00 PM,Charlotte Hornets,,Miami Heat,
Fri Dec 1 2017,8:00 PM,Minnesota Timberwolves,,Oklahoma City Thunder,
Fri Dec 1 2017,7:00 PM,Golden State Warriors,,Orlando Magic,
Fri Dec 1 2017,7:30 PM,Indiana Pacers,,Toronto Raptors,
Fri Dec 1 2017,9:00 PM,New Orleans Pelicans,,Utah Jazz,
Fri Dec 1 2017,7:00 PM,Detroit Pistons,,Washington Wizards,
Sat Dec 2 2017,1:00 PM,Phoenix Suns,,Boston Celtics,
Sat Dec 2 2017,3:00 PM,Atlanta Hawks,,Brooklyn Nets,
Sat Dec 2 2017,7:30 PM,Memphis Grizzlies,,Cleveland Cavaliers,
