Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
Mon Jan 22 2018,8:30 PM,Washington Wizards,,Dallas Mavericks,
Mon Jan 22 2018,9:00 PM,Portland Trail Blazers,,Denver Nuggets,
Mon Jan 22 2018,8:00 PM,Miami Heat,,Houston Rockets,
Mon Jan 22 2018,10:30 PM,Minnesota Timberwolves,,Los Angeles Clippers,
Mon Jan 22 2018,8:00 PM,Philadelphia 76ers,,Memphis Grizzlies,
Mon Jan 22 2018,8:00 PM,Phoenix Suns,,Milwaukee Bucks,
Mon Jan 22 2018,8:00 PM,Chicago Bulls,,New Orleans Pelicans,
Tue Jan 23 2018,10:30 PM,New York Knicks,,Golden State Warriors,
Tue Jan 23 2018,10:30 PM,Boston Celtics,,Los Angeles Lakers,
Tue Jan 23 2018,8:00 PM,Brooklyn Nets,,Oklahoma City Thunder,
Tue Jan 23 2018,7:00 PM,Sacramento Kings,,Orlando Magic,
Tue Jan 23 2018,8:00 PM,Cleveland Cavaliers,,San Antonio Spurs,
Wed Jan 24 2018,7:30 PM,Toronto Raptors,,Atlanta Hawks,
Wed Jan 24 2018,7:00 PM,New Orleans Pelicans,,Charlotte Hornets,
Wed Jan 24 2018,8:00 PM,Houston Rockets,,Dallas Mavericks,
Wed Jan 24 2018,7:00 PM,Utah Jazz,,Detroit Pistons,
Wed Jan 24 2018,7:00 PM,Phoenix Suns,,Indiana Pacers,
Wed Jan 24 2018,10:30 PM,Boston Celtics,,Los Angeles Clippers,
Wed Jan 24 2018,8:00 PM,San Antonio Spurs,,Memphis Grizzlies,
Wed Jan 24 2018,7:00 PM,Chicago Bulls,,Philadelphia 76ers,
Wed Jan 24 2018,10:00 PM,Minnesota Timberwolves,,Portland Trail Blazers,
Thu Jan 25 2018,9:00 PM,New York Knicks,,Denver Nuggets,
Thu Jan 25 2018,10:30 PM,Minnesota Timberwolves,,Golden State Warriors,
Thu Jan 25 2018,7:30 PM,Sacramento Kings,,Miami Heat,
Thu Jan 25 2018,8:00 PM,Washington Wizards,,Oklahoma City Thunder,
Fri Jan 26 2018,8:00 PM,Los Angeles Lakers,,Chicago Bulls,
Fri Jan 26 2018,7:00 PM,Atlanta Hawks,,Charlotte Hornets,
Fri Jan 26 2018,7:30 PM,Indiana Pacers,,Cleveland Cavaliers,
Fri Jan 26 2018,8:30 PM,Portland Trail Blazers,,Dallas Mavericks,
Fri Jan 26 2018,8:00 PM,Los Angeles Clippers,,Memphis Grizzlies,
Fri Jan 26 2018,8:00 PM,Brooklyn Nets,,Milwaukee Bucks,
Fri Jan 26 2018,8:00 PM,Houston Rockets,,New Orleans Pelicans,
Fri Jan 26 2018,9:00 PM,New York Knicks,,Phoenix Suns,
Fri Jan 26 2018,8:30 PM,Philadelphia 76ers,,San Antonio Spurs,
Fri Jan 26 2018,7:30 PM,Utah Jazz,,Toronto Raptors,
Sat Jan 27 2018,7:30 PM,Washington Wizards,,Atlanta Hawks,
Sat Jan 27 2018,9:00 PM,Dallas Mavericks,,Denver Nuggets,
Sat Jan 27 2018,5:00 PM,Oklahoma City Thunder,,Detroit Pistons,
Sat Jan 27 2018,8:30 PM,Boston Celtics,,Golden State Warriors,
Sat Jan 27 2018,7:00 PM,Orlando Magic,,Indiana Pacers,
Sat Jan 27 2018,7:30 PM,Charlotte Hornets,,Miami Heat,
Sat Jan 27 2018,9:00 PM,Brooklyn Nets,,Minnesota Timberwolves,
Sun Jan 28 2018,3:30 PM,Milwaukee Bucks,,Chicago Bulls,
Sun Jan 28 2018,6:00 PM,Detroit Pistons,,Cleveland Cavaliers,
Sun Jan 28 2018,3:30 PM,Phoenix Suns,,Houston Rockets,
Sun Jan 28 2018,4:00 PM,Los Angeles Clippers,,New Orleans Pelicans,
Sun Jan 28 2018,6:00 PM,Philadelphia 76ers,,Oklahoma City Thunder,
Sun Jan 28 2018,7:00 PM,Sacramento Kings,,San Antonio Spurs,
Sun Jan 28 2018,6:00 PM,Los Angeles Lakers,,Toronto Raptors,
Mon Jan 29 2018,7:30 PM,Minnesota Timberwolves,,Atlanta Hawks,
Mon Jan 29 2018,8:30 PM,Miami Heat,,Dallas Mavericks,
Mon Jan 29 2018,9:00 PM,Boston Celtics,,Denver Nuggets,
Mon Jan 29 2018,7:00 PM,Charlotte Hornets,,Indiana Pacers,
Mon Jan 29 2018,8:00 PM,Phoenix Suns,,Memphis Grizzlies,
Mon Jan 29 2018,8:00 PM,Philadelphia 76ers,,Milwaukee Bucks,
Tue Jan 30 2018,8:00 PM,Cleveland Cavaliers,,Detroit Pistons,
Tue Jan 30 2018,8:00 PM,Orlando Magic,,Houston Rockets,
Tue Jan 30 2018,10:30 PM,Portland Trail Blazers,,Los Angeles Clippers,
Tue Jan 30 2018,8:00 PM,Sacramento Kings,,New Orleans Pelicans,
Tue Jan 30 2018,7:30 PM,Brooklyn Nets,,New York Knicks,
Tue Jan 30 2018,8:30 PM,Denver Nuggets,,San Antonio Spurs,
Tue Jan 30 2018,7:30 PM,Minnesota Timberwolves,,Toronto Raptors,
Tue Jan 30 2018,9:00 PM,Golden State Warriors,,Utah Jazz,
Tue Jan 30 2018,7:00 PM,Oklahoma City Thunder,,Washington Wizards,
Wed Jan 31 2018,7:30 PM,Charlotte Hornets,,Atlanta Hawks,
Wed Jan 31 2018,8:00 PM,New York Knicks,,Boston Celtics,
Wed Jan 31 2018,7:30 PM,Philadelphia 76ers,,Brooklyn Nets,
Wed Jan 31 2018,7:30 PM,Miami Heat,,Cleveland Cavaliers,
Wed Jan 31 2018,7:00 PM,Memphis Grizzlies,,Indiana Pacers,
Wed Jan 31 2018,7:00 PM,Los Angeles Lakers,,Orlando Magic,
Wed Jan 31 2018,10:30 PM,Dallas Mavericks,,Phoenix Suns,
Wed Jan 31 2018,10:00 PM,Chicago Bulls,,Portland Trail Blazers,
